id	contextId	type	date
1002	1000	Research	2013-03-13
1003	1000	Forensic	2012-07-14
1000	1000	Interview	2012-05-22
1001	1000	Observation	2012-11-04
1005	1000	Forensic	2013-05-29
1004	1000	Forensic	2013-06-30
1006	1001	Observation	2018-05-29
1007	1001	Interview	2018-07-08
1011	1002	Interview	2015-02-21
1010	1002	Forensic	2015-04-29
1012	1002	Forensic	2014-06-10
1008	1002	Research	2015-10-20
1013	1002	Interview	2014-12-07
1014	1002	Observation	2014-02-21
1015	1002	Forensic	2014-12-28
1009	1002	Interview	2014-02-17
1017	1003	Interview	2008-07-01
1019	1003	Observation	2009-03-28
1016	1003	Research	2007-09-06
1018	1003	Interview	2008-03-24
1020	1004	Research	2018-07-16
1021	1005	Forensic	2013-08-19
1022	1006	Interview	2005-01-04
1028	1007	Interview	2003-09-17
1027	1007	Observation	2003-06-30
1025	1007	Research	2004-08-22
1026	1007	Research	2003-06-16
1023	1007	Research	2002-11-06
1024	1007	Forensic	2004-07-24
1029	1008	Interview	2006-10-23
1031	1009	Interview	2014-12-16
1032	1009	Observation	2016-06-01
1034	1009	Research	2016-01-26
1033	1009	Observation	2015-01-28
1030	1009	Forensic	2016-04-16
1038	1010	Research	2001-01-18
1037	1010	Forensic	2002-08-01
1035	1010	Interview	2001-02-02
1036	1010	Forensic	2002-02-13
1039	1010	Interview	2002-07-20
1044	1011	Interview	2018-10-25
1046	1011	Forensic	2018-03-05
1045	1011	Interview	2018-07-01
1042	1011	Observation	2017-07-07
1043	1011	Research	2018-10-27
1041	1011	Observation	2017-09-08
1040	1011	Interview	2019-01-23
1047	1012	Interview	2008-12-05
1053	1012	Research	2010-07-13
1051	1012	Observation	2010-09-03
1050	1012	Research	2009-12-15
1052	1012	Observation	2009-02-16
1049	1012	Observation	2009-10-30
1048	1012	Observation	2010-02-01
1057	1013	Interview	2006-02-08
1058	1013	Research	2007-06-17
1059	1013	Forensic	2006-12-21
1054	1013	Forensic	2006-03-23
1056	1013	Observation	2006-11-17
1055	1013	Forensic	2007-07-11
1060	1014	Observation	2012-12-22
1062	1014	Observation	2012-02-01
1064	1014	Research	2012-01-31
1063	1014	Observation	2012-12-21
1067	1014	Research	2011-07-06
1066	1014	Forensic	2012-05-19
1065	1014	Research	2012-11-16
1061	1014	Forensic	2012-05-29
1072	1015	Observation	2005-08-27
1071	1015	Forensic	2004-02-27
1068	1015	Research	2005-02-02
1069	1015	Interview	2004-01-08
1074	1015	Forensic	2005-07-26
1070	1015	Forensic	2004-09-21
1073	1015	Research	2004-11-02
1075	1015	Research	2005-03-10
1078	1016	Research	1999-11-13
1080	1016	Forensic	2000-04-20
1077	1016	Research	2000-02-29
1081	1016	Interview	2000-11-09
1079	1016	Research	2001-01-06
1082	1016	Forensic	2000-08-25
1076	1016	Research	1999-10-27
1085	1017	Forensic	2000-09-26
1083	1017	Research	2001-05-01
1086	1017	Research	2000-05-24
1084	1017	Observation	1999-11-27
1087	1018	Forensic	2016-08-26
1088	1018	Observation	2016-10-10
1093	1018	Observation	2016-10-17
1090	1018	Observation	2016-06-07
1089	1018	Interview	2016-08-02
1091	1018	Research	2018-01-10
1092	1018	Interview	2017-12-18
1096	1019	Research	2013-09-11
1095	1019	Research	2013-06-24
1094	1019	Forensic	2015-04-07
1098	1020	Research	2012-03-03
1100	1020	Interview	2011-11-17
1097	1020	Research	2011-05-23
1099	1020	Observation	2010-12-15
1101	1021	Forensic	2005-08-24
1103	1021	Forensic	2007-02-09
1102	1021	Observation	2005-11-03
1104	1022	Forensic	2010-09-27
1105	1022	Interview	2012-01-26
1107	1023	Interview	2006-08-07
1109	1023	Observation	2006-04-28
1108	1023	Observation	2004-12-19
1106	1023	Interview	2005-06-01
1111	1024	Forensic	2005-12-17
1112	1024	Interview	2005-02-12
1110	1024	Observation	2004-11-07
1114	1025	Forensic	2002-11-07
1115	1025	Forensic	2003-01-11
1113	1025	Interview	2004-06-25
