id	name	type	location	team	initiationDate	finalisationDate	finalStatus
1000	Shooting-1000	Shooting	North Narrabeen	Team-11	2011-08-03	2013-07-07	
1001	Equestrian-1001	Equestrian	Bangholme	Team-69	2017-04-23	2018-07-15	
1002	Weightlifting-1002	Weightlifting	North Ryde	Team-2	2013-11-24	2015-10-27	
1003	Surfing-1003	Surfing	Wyoming	Team-31	2007-04-25	2009-04-04	
1004	Dancing-1004	Dancing	Leopold	Team-52	2018-02-16	2018-07-23	
1005	Judo-1005	Judo	Seabrook	Team-88	2012-06-19	2013-08-26	
1006	Diving-1006	Diving	Camberwell (Vic.)	Team-85	2003-09-23	2005-01-11	
1007	Racquets-1007	Racquets	Ormeau	Team-71	2002-08-27	2004-08-29	
1008	Canoe-1008	Canoe	Hamlyn Heights	Team-82	2005-08-18	2006-10-30	
1009	Handball-1009	Handball	Reservoir (Vic.)	Team-16	2014-09-22	2016-06-08	
1010	Karate-1010	Karate	Deer Park	Team-57	2000-09-20	2002-08-08	
1011	Softball-1011	Softball	Lilyvale (NSW)	Team-1	2017-03-26	2019-01-30	
1012	Cycling-1012	Cycling	Melbourne	Team-18	2008-11-02	2010-09-10	
1013	Cycling-1013	Cycling	Thrumster	Team-90	2005-08-02	2007-07-18	
1014	Wrestling-1014	Wrestling	Indonesia	Team-28	2011-05-28	2012-12-29	
1015	Swimming-1015	Swimming	Boya	Team-82	2003-12-13	2005-09-03	
1016	Canoe-1016	Canoe	Maude (Vic.)	Team-94	1999-02-01	2001-01-13	
1017	Polo-1017	Polo	Beaconsfield (WA)	Team-46	1999-07-04	2001-05-08	
1018	Bowling-1018	Bowling	Westminster	Team-8	2016-04-01	2018-01-17	
1019	Triathlon-1019	Triathlon	Templestowe	Team-92	2013-04-20	2015-04-14	
1020	Pentathlon-1020	Pentathlon	Bentleigh East	Team-83	2010-05-03	2012-03-10	
1021	Cycling-1021	Cycling	Yarranbella	Team-56	2005-05-17	2007-02-16	
1022	Rugby union-1022	Rugby union	Fairfield West	Team-1	2010-03-07	2012-02-02	
1023	Golf-1023	Golf	Kalimna	Team-81	2004-11-24	2006-08-14	
1024	Kayak-1024	Kayak	Mount Annan	Team-33	2004-01-17	2005-12-24	
1025	Equestrian-1025	Equestrian	Bella Vista	Team-19	2002-07-07	2004-07-02	
1026	Soccer-1026	Soccer	Beaumont Hills	Team-5	2004-04-21	2005-08-04	
1027	Archery-1027	Archery	Nariel Valley	Team-22	1999-07-01	2001-01-25	
1028	Rowing-1028	Rowing	Mount Martha	Team-70	2014-07-19	2016-05-08	
1029	Cycling-1029	Cycling	Chapman Hill	Team-58	2009-12-24	2011-11-20	
1030	Badminton-1030	Badminton	Yatala Vale	Team-67	1999-02-18	2001-01-29	
1031	Canoe-1031	Canoe	Balaclava (Vic.)	Team-13	2010-06-05	2011-01-01	
1032	Kayak-1032	Kayak	Seaford (Vic.)	Team-96	2010-05-08	2011-07-30	
1033	Badminton-1033	Badminton	Pelican Point (WA)	Team-51	2005-06-10	2007-06-03	
1034	Gymnastics-1034	Gymnastics	Luddenham	Team-54	2004-02-19	2005-10-31	
1035	Track and field-1035	Track and field	South Wentworthville	Team-39	2006-07-15	2008-05-25	
1036	Cricket-1036	Cricket	Maylands (WA)	Team-15	2002-01-26	2003-07-25	
1037	Equestrian-1037	Equestrian	Elermore Vale	Team-81	2016-03-13	2016-08-21	
1038	Netball-1038	Netball	Ashley	Team-73	2007-03-14	2009-02-15	
1039	Softball-1039	Softball	Coniston	Team-79	2016-06-22	2018-05-17	
1040	Wrestling-1040	Wrestling	Burpengary East	Team-42	2017-02-03	2018-10-26	
1041	Canoe-1041	Canoe	Applecross	Team-28	2012-04-09	2014-03-31	
1042	Rugby 7s-1042	Rugby 7s	Somersby	Team-62	2018-04-03	2020-03-30	
1043	Diving-1043	Diving	Newstead (Tas.)	Team-31	2006-03-01	2008-02-11	
1044	Pentathlon-1044	Pentathlon	Windellama	Team-65	2008-11-27	2010-01-04	
1045	Water polo-1045	Water polo	Wangara	Team-48	2004-11-24	2006-03-11	
1046	Baseball-1046	Baseball	Nunawading	Team-70	2012-07-07	2013-12-05	
1047	Gymnastics-1047	Gymnastics	La Perouse	Team-33	2005-07-10	2007-07-13	
1048	Rugby 7s-1048	Rugby 7s	Guyana	Team-51	2003-12-23	2005-08-06	
1049	Archery-1049	Archery	Garden Suburb	Team-61	2007-07-12	2009-03-25	
1050	Basketball-1050	Basketball	Miami	Team-16	2017-11-05	2019-10-12	
1051	Boxing-1051	Boxing	Tweed Heads West	Team-87	2012-11-25	2014-09-02	
1052	Rugby union-1052	Rugby union	Tallai	Team-55	2005-12-14	2006-02-21	
1053	Surfing-1053	Surfing	Warracknabeal	Team-31	2013-02-14	2014-10-25	
1054	Sailing-1054	Sailing	West Melbourne	Team-52	2001-07-21	2003-07-23	
1055	Netball-1055	Netball	Kallangur	Team-61	2012-08-20	2014-08-09	
1056	Dancing-1056	Dancing	West Pennant Hills	Team-61	2015-08-16	2017-07-17	
1057	Track and field-1057	Track and field	Kings Park (NSW)	Team-85	2003-10-10	2004-12-20	
1058	Basketball-1058	Basketball	Yarrawarrah	Team-90	2013-03-20	2013-05-15	
1059	Canoe-1059	Canoe	Ascot (WA)	Team-42	2007-05-04	2008-05-14	
1060	Baseball-1060	Baseball	Pearsall	Team-34	2012-07-02	2014-01-05	
1061	Triathlon-1061	Triathlon	Gillenbah	Team-84	2017-01-21	2019-01-25	
1062	Polo-1062	Polo	Windsor (Vic.)	Team-49	2017-12-14	2019-11-08	
1063	Basketball-1063	Basketball	Salisbury (SA)	Team-94	2004-07-06	2006-04-09	
1064	Rowing-1064	Rowing	Laverton (Vic.)	Team-42	2010-02-28	2012-01-10	
1065	Water polo-1065	Water polo	Miami	Team-96	2002-06-26	2004-01-14	
1066	Basketball-1066	Basketball	Geographe	Team-27	2006-06-22	2008-06-02	
1067	Rugby union-1067	Rugby union	Eumemmerring	Team-49	2000-07-05	2002-01-04	
1068	Rugby union-1068	Rugby union	Doolandella	Team-45	2010-09-01	2012-06-02	
1069	Polo-1069	Polo	Brooklyn Park	Team-4	2011-05-25	2013-03-27	
1070	Croquet-1070	Croquet	Tennant Creek	Team-68	2005-10-05	2007-08-28	
1071	Lacrosse-1071	Lacrosse	Yahl	Team-95	2003-03-28	2005-02-27	
1072	Shooting-1072	Shooting	The Basin (Vic.)	Team-23	2008-04-12	2009-09-28	
1073	Archery-1073	Archery	Seaford (Vic.)	Team-94	2004-06-08	2006-05-31	
1074	Climbing-1074	Climbing	Elizabeth Bay	Team-72	2000-10-09	2002-07-13	
1075	Archery-1075	Archery	Doveton	Team-59	2016-01-10	2018-01-13	
1076	Hockey-1076	Hockey	Marryatville	Team-77	1999-10-08	2001-09-04	
1077	Archery-1077	Archery	Mount Cotton	Team-87	2017-04-14	2018-05-30	
