id	type	contextId	activityId	entityType	entityId
1001	Witness	1000	1000	Person	1002
1005	Victim	1000	1003	Person	1004
1000	Offender	1000	1000	Person	1001
1007	Offender	1000	1005	Person	1003
1002	Offender	1000	1001	Person	1001
1003	Witness	1000	1002	Person	1002
1004	Witness	1000	1003	Person	1003
1006	Witness	1000	1004	Person	1005
1009	Offender	1001	1006	Person	1007
1010	Victim	1001	1006	Person	1007
1011	Offender	1001	1007	Person	1004
1008	Witness	1001	1006	Person	1006
1012	Suspect	1001	1007	Person	1008
1013	Witness	1001	1007	Person	1009
1027	Suspect	1002	1014	Person	1015
1028	Offender	1002	1015	Person	1000
1023	Witness	1002	1013	Person	1013
1014	Suspect	1002	1008	Person	1010
1017	Witness	1002	1010	Person	1006
1026	Suspect	1002	1014	Person	1014
1016	Offender	1002	1009	Person	1010
1022	Offender	1002	1012	Person	1009
1021	Witness	1002	1012	Person	1013
1018	Victim	1002	1010	Person	1011
1024	Suspect	1002	1013	Person	1005
1020	Suspect	1002	1011	Person	1012
1025	Witness	1002	1013	Person	1001
1019	Suspect	1002	1011	Person	1003
1015	Witness	1002	1009	Person	1011
1031	Witness	1003	1016	Person	1017
1034	Victim	1003	1019	Person	1005
1030	Offender	1003	1016	Person	1016
1029	Suspect	1003	1016	Person	1000
1032	Victim	1003	1017	Person	1018
1033	Suspect	1003	1018	Person	1010
1036	Witness	1004	1020	Person	1000
1035	Suspect	1004	1020	Person	1019
1037	Witness	1004	1020	Person	1017
1039	Offender	1005	1021	Person	1008
1038	Victim	1005	1021	Person	1016
1041	Victim	1006	1022	Person	1015
1040	Victim	1006	1022	Person	1000
1042	Offender	1006	1022	Person	1020
1048	Witness	1007	1025	Person	1015
1054	Suspect	1007	1027	Person	1016
1047	Victim	1007	1024	Person	1021
1043	Victim	1007	1023	Person	1011
1046	Victim	1007	1024	Person	1020
1055	Suspect	1007	1027	Person	1023
1052	Suspect	1007	1026	Association	1000
1056	Victim	1007	1027	Person	1016
1050	Suspect	1007	1025	Person	1000
1045	Offender	1007	1023	Person	1020
1057	Witness	1007	1028	Person	1020
1051	Victim	1007	1026	Person	1007
1044	Offender	1007	1023	Person	1020
1049	Witness	1007	1025	Person	1018
1053	Victim	1007	1026	Person	1000
1058	Witness	1008	1029	Person	1017
1059	Victim	1008	1029	Person	1016
1068	Victim	1009	1034	Person	1017
1061	Offender	1009	1030	Person	1021
1066	Witness	1009	1033	Person	1001
1060	Witness	1009	1030	Person	1019
1067	Witness	1009	1034	Person	1014
1064	Suspect	1009	1031	Person	1024
1069	Suspect	1009	1034	Person	1026
1063	Offender	1009	1031	Person	1001
1062	Witness	1009	1031	Person	1017
